school,address,city,zip,lat,long
North East Carolina Preparatory,"274 Husky Trail, 27886",Tarboro,27886,NA,NA
Northeast Academy for Aerospace & Advanced Technologies,"ECSU ITC Bldg, 1810 Weeksville Rd, 27909",Elizabeth City,27909,NA,NA
Oxford Preparatory School,"6041 Landis Rd, 27565",Oxford,27565,36.337658,-78.55794
PAVE Southeast Raleigh Charter School,"3420 Idlewood Village Dr, 27610",Raleigh,27610,35.73548,-78.61764
Paul R. Brown Leadership Academy,"1360 Martin L King Jr Dr, 28337",Elizabethtown,28337,34.620712,-78.617645
Peak Charter Academy,"1601 Orchard Villas Ave, 27502",Apex,27502,NA,NA
Phoenix Academy Inc,"4191 Mendenhall Oaks Parkway Gr.2-5, Meeting WayGr K-1 Clinard Farms 6-8, 27265",High Point,27265,36.047104,-79.95673
Piedmont Classical High School,"4100 YANCEYVILLE RD, 27214",BROWNS SUMMIT,27214,36.14029,-79.77621
Piedmont Community Charter School,"119 E. 2nd Avenue, 28052",Gastonia,28052,35.26067,-81.18147
"Pine Lake Preparatory, Inc.","104 Yellow Wood Circle, 28115",Mooresville,28115,35.535305,-80.84685
Pine Springs Preparatory Academy,"220 Rosewood Centre Dr, 27540",Holly Springs,27540,NA,NA
Pinnacle Classical Academy,"2401 Joes Lake Rd, 28152",Shelby,28152,35.25183,-81.49005
Pioneer Springs Community School,"9300 Bob Beatty Rd., 28269",Charlotte,28269,35.347717,-80.82317
Pocosin Innovative Charter,"500 1st St, 27928",Creswell,27928,NA,NA
PreEminent Charter School,"3815 Rock Quarry Road, 27610",Raleigh,27610,35.745247,-78.58308
Quality Education Academy,"4389 Carver School Road, 27105",Winston-Salem,27105,36.15074,-80.21169
Queen City STEM School,"8701 Mallard Creek Rd, 28262",Charlotte,28262,35.322247,-80.77468
Queen's Grant Community School,"6400 Matthews Mint Hill Road, 28227",Mint Hill,28227,35.16738,-80.66555
Quest Academy,"10908 Strickland Road, 27615",Raleigh,27615,35.901707,-78.67677
Raleigh Charter High School,"1307 Glenwood Avenue, 27605-3249",Raleigh,27605-3249,35.79541,-78.64648
Raleigh Oak Charter School,"9400 Forum Drive, 27615",Raleigh,27615,NA,NA
Reaching All Minds Academy,"2703 Holloway St., 27703",Durham,27703,35.98877,-78.85199
Research Triangle Charter Academy,"2418 Ellis Road, 27703-5543",Durham,27703-5543,35.938236,-78.85131
Research Triangle High School,"3106 East NC Highway 54, 27709",Durham,27709,NA,NA
Ridgeview Charter School,"207 W. Bradley St., 28052",Gastonia,28052,35.271465,-81.18508
River Mill Academy,"235 Cheeks Lane, 27253",Graham,27253,36.0443,-79.39387
"Rocky Mount Preparatory School, Inc.","3334 Bishop Road, 27804",Rocky Mount,27804,36.015587,-77.77835
Rolesville Charter Academy,"908 Eagle Scholars Drive, 27571",Rolesville,27571,NA,NA
"Roxboro Community School, Inc.","115 Lake Drive, 27573",Roxboro,27573,36.39144,-78.97895
Sallie B Howard School for the Arts and Education,"1004 Herring Avenue, 27893-5617",Wilson,27893-5617,35.731194,-77.89479
Sandhills Theatre Arts Renaissance School,"140 Southern Dunes Dr, 28394-9218",Vass,28394-9218,35.212826,-79.33166
Shining Rock Classical Academy: CFA,"1023 Dellwood Road, 28786",Waynesville,28786,NA,NA
Socrates Academy,"3909 Weddington Rd, 28105",Matthews,28105,35.07307,-80.72955
South Brunswick Charter School,"2260 Achievement Ave SE, 28422-8368",Bolivia,28422-8368,33.971134,-78.19796
Southeastern Academy,"12251 NC HWY 41 North, 28358",Lumberton,28358,NA,NA
Southern Wake Academy,"5108 Old Powell Rd, 27540",Holly Springs,27540,35.611,-78.818436
Southwest Charlotte STEM Academy,"5203 Shopton Rd, 28278",Charlotte,28278,35.17198,-80.9669
Steele Creek Preparatory Academy,"2200 Shopton Road, 28217",Charlotte,28217,35.16365,-80.93468
Sterling Montessori Academy,"202 Treybrooke Drive, 27560",Morrisville,27560,35.83264,-78.837
Stewart Creek High School,"2701-F Freedom Dr, 28208",Charlotte,28208,35.23799,-80.88332
Success Charter School,"1424-2 Rickert St, 28677",Statesville,28677,35.767574,-80.879944
Sugar Creek Charter,"4101 N Tryon Street, 28206",Charlotte,28206,35.25699,-80.79728
Summerfield Charter Academy,"5303 Hwy 220 N, 27358",Summerfield,27358,NA,NA
Summit Charter School,"370 Mitten Lane, 28717",Cashiers,28717,35.096363,-83.10731
TeamCFA - Community Public Charter,"400 Ralph Handsel Blvd., 28164",Stanley,28164,35.360363,-81.10628
TeamCFA: Bonnie Cone Classical Academy,"119 N. Old Statesville Road, 28078",Huntersville,28078,35.411945,-80.84305
The Academy of Moore County,"12588 US 15-501 Hwy, 28315",Aberdeen,28315,NA,NA
The Arts Based School,"1380 Martin Luther King Jr Dr, 27101",Winston-Salem,27101,36.10443,-80.24489
The Capitol Encore Academy,"126 Hay Street, 28301",Fayetteville,28301,35.05276,-78.87885
The Children's Village Academy,"701 North Adkin Street, 28501",Kinston,28501,35.266243,-77.56781
The College Preparatory and Leadership Academy of High Point,"4201 Furniture Avenue, 27282",Jamestown,27282,35.96675,-79.92242
The Expedition School,"437 Dimmocks Mill Rd Ste 33, 27278",Hillsborough,27278,36.070866,-79.11193
The Experiential School of Greensboro,"301 S Church St, 27401",Greensboro,27401,36.07076,-79.78693
The Exploris School,"401 Hillsborough St., 27603",Raleigh,27603,35.780617,-78.645065
The Franklin School of Innovation,"21 Innovation Dr, 28806",Asheville,28806,35.541332,-82.63183
The Hawbridge School,"1735 Saxapahaw Bethlehem Church Rd, 27340",Saxapahaw,27340,35.946934,-79.31862
The Institute for the Development of Young Leaders,"4300 S. Miami Blvd., 27703",Durham,27703,35.901188,-78.85097
The Learning Center,"945 Conaheeta Street, 28906",Murphy,28906,35.094486,-84.034485
The Magellan Charter School,"9324 Baileywick Road, 27615",Raleigh,27615,35.90958,-78.662155
The Mountain Community Sch,"613 Glover Street, 28792",Hendersonville,28792,35.313034,-82.44311
Thomas Academy,"302 Rube MCCRAY Circle, 28450",Lake Waccamaw,28450,34.321743,-78.52542
Thomas Jefferson Classical Academy: A Challenge Foundation A,"2527 US 221A Hwy, 28114-7698",Mooresboro,28114-7698,NA,NA
Three Rivers Academy,"503 East Main Street, 27967",Powellsville,27967,36.229794,-76.93938
Tiller School,"1950 Live Oak Street, 28516",Beaufort,28516,34.734676,-76.63571
Tillery Charter Academy,"204 Lambert Rd., 27209",Biscoe,27209,35.3603,-79.784065
Torchlight Academy,"3211 Bramer Drive, 27604",Raleigh,27604,35.826977,-78.60634
Triad Math and Science Academy,"700 Creek Ridge Rd, 27406",Greensboro,27406,36.029175,-79.80894
Triangle Math and Science Academy,"312 Gregson Dr., 27511",Cary,27511,35.733597,-78.8043
Two Rivers Community School,"1018 Archie Carroll Road, 28607",Boone,28607,36.22726,-81.61429
Union Academy Charter School,"675 North ML King Jr Blvd, 28110",Monroe,28110,NA,NA
Union Day School,"3000 TILLEY MORRIS ROAD, 28104",WEDDINGTON,28104,NA,NA
Union Preparatory Academy at Indian Trail,"2324 Younts Rd, 28079",Indian Trail,28079,35.0825,-80.648476
United Community School,"1406 Suther Road, 28213",Charlotte,28213,35.30049,-80.72773
Unity Classical Charter School,"1929 W Arrowood Rd, 28217",Charlotte,28217,35.14395,-80.92048
UpROAR Leadership Academy,"5500 North Tryon St, 28213",Charlotte,28213,35.26136,-80.77452
Uwharrie Charter Academy,"5154 US Hwy 220 Business South, 27205",Asheboro,27205,35.629383,-79.82581
VERITAS Community School: A Challenge Foundation Academy,"2600 Grimes Street, 28206",Charlotte,28206,35.251987,-80.82324
Vance Charter School,"2090 Ross Mill Road, 27536",Henderson,27536,NA,NA
Voyager Academy,"101 Hock Parc Drive, 27704",Durham,27704,36.04643,-78.89605
Wake Forest Charter Academy,"1851 Friendship Chapel Rd, 27587",Wake Forest,27587,35.9657,-78.49356
Washington Montessori Public Charter School,"2330 Old Bath Hwy, 27889",Washington,27889,NA,NA
Water's Edge Village School,"1126 Schoolhouse Lane, 27927",Corolla,27927,36.378605,-75.8302
Wayne Preparatory Academy,"600 Tommy's Road, Cottage B, 27530",Goldsboro,27530,NA,NA
West Lake Preparatory Academy,"537 N Highway 16, 28037",Denver,28037,35.45789,-80.99229
Willow Oak Montessori,"50101 Governors Dr, Suite 170, 27517",Chapel Hill,27517,35.854317,-79.0254
Wilmington Preparatory Academy,"134 Cinema Drive, 28403",Wilmington,28403,34.23914,-77.89199
